,high,low,last,ask1,bid1,ask_vol1,bid_vol1,amount,avebid,aveoff,trade,totbid,totoff,vol
0,120300.0,120000.0,120200.0,120300.0,120200.0,111900.0,3300.0,3068413.0,149.0,115500.0,125800.0,3595464.0,6788962.0,255636.0
1,120300.0,119600.0,119900.0,119900.0,119800.0,90076.0,35100.0,20492389.0,570.0,115500.0,125100.0,3878000.0,8497811.0,1709200.0
2,120300.0,119600.0,120100.0,120200.0,120100.0,139100.0,5800.0,33978903.0,769.0,116100.0,125600.0,4560175.0,7976319.0,2833425.0
3,120300.0,119600.0,120100.0,120200.0,120100.0,68400.0,3111.0,44142550.0,1035.0,116400.0,125500.0,5229679.0,8657560.0,3679610.0
4,120300.0,119500.0,119700.0,119800.0,119700.0,144933.0,4500.0,58168948.0,1475.0,115800.0,125700.0,4570611.0,10676979.0,4850378.0
5,120300.0,119300.0,119500.0,119500.0,119400.0,64608.0,405611.0,73045401.0,1919.0,115800.0,125700.0,4614511.0,10792626.0,6094678.0
6,120300.0,119200.0,119200.0,119300.0,119200.0,139300.0,45612.0,90353132.0,2466.0,115400.0,125600.0,4223812.0,10959812.0,7544377.0
7,120300.0,118900.0,119000.0,119000.0,118900.0,86500.0,60534.0,105095283.0,3179.0,115000.0,125800.0,3883134.0,10571021.0,8782655.0
8,120300.0,118800.0,119200.0,119300.0,119200.0,32200.0,167.0,115540708.0,3615.0,115600.0,126000.0,4734446.0,10231499.0,9660143.0
9,120300.0,118800.0,118900.0,118900.0,118800.0,101398.0,169445.0,130316138.0,4186.0,115300.0,125800.0,4486445.0,10720918.0,10901444.0
10,120300.0,118800.0,119100.0,119200.0,119100.0,55500.0,17507.0,139284471.0,4537.0,115800.0,125900.0,5386442.0,10492452.0,11655547.0
11,120300.0,118800.0,118900.0,118900.0,118800.0,153527.0,281165.0,154133286.0,4947.0,115600.0,125700.0,5125965.0,10773344.0,12903624.0
12,120300.0,117900.0,118000.0,118000.0,117900.0,1800.0,27700.0,183947242.0,6101.0,113900.0,125500.0,3237600.0,11051359.0,15421389.0
13,120300.0,117700.0,118000.0,118000.0,117900.0,80620.0,3700.0,200304420.0,6745.0,114700.0,125400.0,4241383.0,11031439.0,16809206.0
14,120300.0,117200.0,117300.0,117300.0,117200.0,5888.0,80000.0,223606534.0,7626.0,113400.0,124700.0,3028100.0,9937126.0,18790489.0
15,120300.0,116800.0,116900.0,116900.0,116800.0,93695.0,41229.0,248973006.0,8752.0,112800.0,124700.0,2795529.0,9862620.0,20957860.0
16,120300.0,116200.0,116800.0,116800.0,116700.0,70700.0,99053.0,270686087.0,9632.0,113500.0,124800.0,3952138.0,9701613.0,22821438.0
17,120300.0,116200.0,117400.0,117500.0,117400.0,83600.0,6412.0,297161008.0,10396.0,113700.0,125100.0,4288597.0,9363605.0,25084479.0
18,120300.0,116200.0,117200.0,117300.0,117200.0,20400.0,12217.0,312890029.0,10915.0,113800.0,124800.0,4554491.0,9672813.0,26424185.0
19,120300.0,116200.0,117200.0,117300.0,117200.0,2072.0,54347.0,321362476.0,11298.0,113800.0,124800.0,4560892.0,9758377.0,27147384.0
20,120300.0,116200.0,117200.0,117200.0,117100.0,1300.0,97538.0,330591710.0,11697.0,113800.0,124800.0,4700072.0,9862252.0,27934304.0
21,120300.0,116200.0,116700.0,116800.0,116700.0,7489.0,83762.0,347590340.0,12337.0,113600.0,124700.0,4477756.0,10012680.0,29388520.0
22,120300.0,116200.0,117200.0,117200.0,117100.0,13000.0,3300.0,354044495.0,12639.0,113900.0,124800.0,5063428.0,9938663.0,29940860.0
23,120300.0,116200.0,117200.0,117300.0,117200.0,24400.0,71927.0,359975010.0,12939.0,114100.0,124900.0,5495387.0,9721400.0,30447101.0
24,120300.0,116200.0,117200.0,117300.0,117200.0,107452.0,274528.0,368662591.0,13289.0,114200.0,124800.0,5797447.0,9957426.0,31188141.0
25,120300.0,116200.0,117100.0,117100.0,117000.0,20600.0,243304.0,377132604.0,13613.0,114000.0,124800.0,5343621.0,10060083.0,31911056.0
26,120300.0,116200.0,117000.0,117100.0,117000.0,83696.0,92393.0,385025193.0,14001.0,114000.0,124800.0,5311710.0,10161697.0,32585367.0
27,120300.0,116200.0,116700.0,116800.0,116700.0,2600.0,13900.0,394885423.0,14425.0,113700.0,124700.0,4880165.0,10282936.0,33429112.0
28,120300.0,116200.0,116800.0,116800.0,116700.0,34600.0,4058.0,408328239.0,14911.0,113600.0,124700.0,4884890.0,10241800.0,34581887.0
29,120300.0,116200.0,116800.0,116800.0,116700.0,2500.0,130299.0,414065741.0,15184.0,113800.0,124600.0,5298716.0,10417500.0,35073361.0
30,120300.0,116200.0,117000.0,117000.0,116900.0,2400.0,9436.0,419295144.0,15411.0,113800.0,124700.0,5425052.0,10329007.0,35520526.0
31,120300.0,116200.0,116900.0,116900.0,116800.0,5000.0,251354.0,424058304.0,15707.0,113900.0,124600.0,5693870.0,10441934.0,35928108.0
32,120300.0,116200.0,117000.0,117000.0,116900.0,75487.0,21510.0,427358177.0,15882.0,113900.0,124600.0,5767857.0,10393547.0,36210421.0
33,120300.0,116200.0,116800.0,116800.0,116700.0,12800.0,126499.0,435592819.0,16176.0,113800.0,124500.0,5618916.0,10560818.0,36915162.0
34,120300.0,116200.0,116400.0,116500.0,116400.0,163591.0,170400.0,446984351.0,16779.0,113400.0,124200.0,5075200.0,11114523.0,37892255.0
35,120300.0,115500.0,115900.0,115900.0,115800.0,3000.0,88900.0,489813003.0,18238.0,112800.0,123700.0,4428092.0,11735415.0,41585963.0
36,120300.0,115500.0,115900.0,115900.0,115800.0,157109.0,217000.0,503844443.0,18661.0,113100.0,124000.0,5088800.0,11378244.0,42796063.0
37,120300.0,115500.0,116500.0,116600.0,116500.0,22300.0,14444.0,519181238.0,19051.0,113300.0,124300.0,5598451.0,10970509.0,44117157.0
38,120300.0,115500.0,116300.0,116500.0,116300.0,16480.0,9890.0,525992696.0,19314.0,113300.0,124200.0,5650990.0,11076536.0,44701846.0
39,120300.0,115500.0,116500.0,116600.0,116500.0,43900.0,44468.0,530591068.0,19510.0,113400.0,124200.0,5877876.0,11148650.0,45096760.0
40,120300.0,115500.0,116100.0,116300.0,116100.0,139168.0,18000.0,538093363.0,19758.0,113300.0,124000.0,5604300.0,11475434.0,45742036.0
41,120300.0,115500.0,116000.0,116200.0,116000.0,26866.0,15000.0,552304813.0,20382.0,113100.0,124000.0,6374281.0,11743627.0,46965855.0
42,120300.0,115500.0,115800.0,115900.0,115800.0,4500.0,251141.0,557473403.0,20652.0,113000.0,124000.0,6217941.0,11793552.0,47411595.0
43,120300.0,115500.0,116000.0,116100.0,116000.0,8200.0,16776.0,564530553.0,20925.0,113000.0,124000.0,6240317.0,11789322.0,48020019.0
44,120300.0,115500.0,115900.0,116000.0,115900.0,78868.0,58741.0,576542762.0,21343.0,113000.0,123900.0,6280041.0,11928705.0,49056795.0
45,120300.0,115500.0,116000.0,116100.0,116000.0,53000.0,17732.0,580480209.0,21432.0,113000.0,123900.0,6357481.0,11873337.0,49396255.0
46,120300.0,115500.0,116000.0,116100.0,116000.0,53000.0,17732.0,580480209.0,21432.0,113000.0,123900.0,6357481.0,11873337.0,49396255.0
47,120300.0,115500.0,116000.0,116100.0,116000.0,53000.0,17732.0,580480209.0,21432.0,113000.0,123900.0,6357481.0,11873337.0,49396255.0
48,120300.0,115500.0,116000.0,116100.0,116000.0,53000.0,17732.0,580480209.0,21432.0,113000.0,123900.0,6357481.0,11873337.0,49396255.0
49,120300.0,115500.0,116000.0,116100.0,116000.0,53000.0,17732.0,580480209.0,21432.0,113000.0,123900.0,6357481.0,11873337.0,49396255.0
50,120300.0,115500.0,115700.0,115800.0,115700.0,109000.0,97600.0,599444451.0,21991.0,112600.0,123700.0,6018400.0,12438276.0,51031487.0
51,120300.0,113900.0,114000.0,114000.0,113900.0,139275.0,19300.0,644685350.0,24142.0,110200.0,122900.0,3187700.0,13552121.0,54965487.0
52,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
53,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
54,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
55,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
56,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
57,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
58,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
59,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
60,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
61,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
62,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
63,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
64,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
65,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
66,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
67,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
68,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
69,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
70,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
71,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
72,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
73,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
74,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
75,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
76,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
77,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
78,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
79,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
80,120300.0,112300.0,113000.0,113100.0,112400.0,7400.0,1800.0,660376153.0,24835.0,109500.0,122900.0,3088300.0,13424981.0,56349787.0
81,112700.0,111500.0,112700.0,112700.0,112600.0,1731.0,205296.0,66771614.0,2189.0,108200.0,119400.0,7861638.0,4132447.0,5943432.0
82,114700.0,111500.0,114600.0,114600.0,114300.0,111800.0,20300.0,93740036.0,3271.0,108800.0,120600.0,8618225.0,3577795.0,8314909.0
83,114700.0,111500.0,114300.0,114300.0,114200.0,85200.0,21100.0,116765324.0,4331.0,108700.0,119600.0,8546644.0,4710247.0,10328909.0
84,114700.0,111500.0,113800.0,113900.0,113800.0,3300.0,32800.0,130130134.0,5066.0,108700.0,120300.0,8918530.0,4429049.0,11502323.0
85,115300.0,111500.0,115300.0,115400.0,115300.0,12900.0,400.0,146473625.0,5726.0,109200.0,121100.0,9392913.0,4005019.0,12934215.0
